rank,name,country_name,country_id,points,bestRank,bestRankDate,rankDiff,pointsDiff,bestPoints
294,Nino Serdarusic,Croatia,CRO,172,192,2018-08-06,0,0,300
295,James Ward,United Kingdom,GBR,170,89,2015-07-13,0,0,573
296,Vit Kopriva,Czech Republic,CZE,170,294,2020-12-07,0,0,170
297,Lukas Klein,Slovakia,SVK,167,294,2020-11-16,0,0,167
298,Alexander Ritschard,Switzerland,SUI,167,296,2020-11-23,0,0,167
299,Altug Celikbilek,Turkey,TUR,167,298,2021-01-18,0,0,167
300,Jc Aragone,United States,USA,165,223,2018-12-24,0,0,235
301,Kevin King,United States,USA,163,162,2018-05-07,0,0,349
302,Duje Ajdukovic,Croatia,CRO,158,302,2021-02-01,19,18,158
303,Michael Vrbensky,Czech Republic,CZE,158,302,2020-09-28,-1,0,158
304,Alex Molcan,Slovakia,SVK,157,277,2020-02-03,-1,0,157
305,Sasi Kumar Mukund,India,IND,157,229,2019-10-07,-1,0,213
306,Manuel Guinard,France,FRA,157,284,2020-08-31,-1,0,157
307,Jesper De Jong,Netherlands,NED,156,301,2020-11-30,-1,0,156
308,Lucas Miedler,Austria,AUT,156,201,2018-10-15,-1,0,270
309,Jack Draper,United Kingdom,GBR,154,283,2020-08-24,-1,0,154
310,Johannes Haerteis,Germany,GER,153,300,2020-11-23,-1,0,153
311,Orlando Luz,Brazil,BRA,152,292,2019-11-04,-1,0,152
312,Sebastian Baez,Argentina,ARG,152,308,2021-01-04,-1,0,152
313,Kaichi Uchida,Japan,JPN,151,237,2019-07-01,-1,0,196
314,Jenson Brooksby,United States,USA,149,266,2019-11-25,-1,0,168
315,Andrea Vavassori,Italy,ITA,148,278,2020-02-10,-1,0,148
316,Donald Young,United States,USA,147,38,2012-02-27,-1,0,1039
317,Javier Barranco Cosano,Spain,ESP,146,273,2019-08-19,-1,0,178
318,John Patrick Smith,Australia,AUS,143,108,2015-09-28,-1,0,490
319,Jose Hernandez,Dominican Republic,DOM,142,179,2015-08-03,-1,0,267
320,Matthew Ebden,Australia,AUS,141,39,2018-10-22,-1,0,1134
321,Santiago Giraldo,Colombia,COL,140,28,2014-09-29,-1,0,1230
322,Christian Lindell,Sweden,SWE,140,177,2015-07-20,0,0,278
323,Di Wu,China,CHN,138,140,2016-04-25,0,0,409
324,Harry Bourchier,Australia,AUS,138,279,2020-01-13,0,0,144
325,Shintaro Imai,Japan,JPN,137,290,2020-01-06,0,0,137
326,Julian Ocleppo,Italy,ITA,136,309,2020-02-24,0,0,136
327,Oriol Roca Batalla,Spain,ESP,136,193,2015-08-03,0,0,249
328,Giulio Zeppieri,Italy,ITA,135,316,2020-09-28,0,0,135
329,Mirza Basic,Bosnia and Herzegovina,BIH,134,74,2018-02-19,0,0,733
330,Khumoun Sultanov,Uzbekistan,UZB,133,299,2020-02-17,0,0,136
331,Uladzimir Ignatik,Belarus,BLR,132,129,2017-06-19,0,0,424
332,Juan Manuel Cerundolo,Argentina,ARG,132,332,2021-02-01,9,5,132
333,Aleksandr Nedovyesov,Kazakhstan,KAZ,131,72,2014-04-21,-1,0,666
334,Markus Eriksson,Sweden,SWE,131,277,2019-08-19,-1,0,176
335,Corentin Denolly,France,FRA,131,289,2019-11-25,-1,0,143
336,Yuta Shimizu,Japan,JPN,130,313,2020-03-02,-1,0,130
337,Jelle Sels,Netherlands,NED,130,260,2018-12-17,2,1,196
338,Jeremy Jahn,Germany,GER,129,197,2017-01-30,-2,0,280
339,Matija Pecotic,Croatia,CRO,129,206,2015-11-23,-2,0,241
340,Arthur De Greef,Belgium,BEL,129,113,2017-06-19,-2,0,479
341,Viktor Durasovic,Norway,NOR,127,298,2019-10-14,-1,0,137
342,Vaclav Safranek,Czech Republic,CZE,127,191,2017-11-06,0,0,281
343,Ivan Nedelko,Russian Federation,RUS,127,235,2018-07-23,0,0,238
344,Nicolas Alvarez,Peru,PER,126,295,2020-01-06,0,0,132
345,Christian Harrison,United States,USA,124,198,2018-07-02,0,0,293
346,Dayne Kelly,Australia,AUS,124,252,2017-10-23,0,0,198
347,Tim Van Rijthoven,Netherlands,NED,124,285,2020-01-13,0,0,162
348,Sekou Bangoura,United States,USA,124,213,2016-10-31,0,0,245
